created_at,air_temp,process_temp,rotational_speed,torque,tool,machinefailure
2021-06-19 00:00:05 CET,298.1,308.6,1551,42.8,0,0
2021-06-19 00:01:02 CET,298.2,308.7,1408,46.3,3,0
2021-06-19 00:01:22 CET,298.2,308.7,1408,46.3,3,0
2021-06-19 00:01:44 CET,298.1,308.5,1498,49.4,5,0
2021-06-19 00:02:07 CET,298.1,308.5,1498,49.4,5,0
2021-06-19 00:02:27 CET,298.2,308.6,1433,39.5,7,0
2021-06-19 00:02:47 CET,298.2,308.6,1433,39.5,7,0
2021-06-19 00:03:07 CET,298.2,308.7,1408,40.0,9,0
2021-06-19 00:03:27 CET,298.2,308.7,1408,40.0,9,0
2021-06-19 00:03:47 CET,298.1,308.6,1425,41.9,11,0
2021-06-19 00:04:31 CET,298.1,308.6,1425,41.9,11,0
2021-06-19 00:05:11 CET,298.1,308.6,1558,42.4,14,0
2021-06-19 00:05:59 CET,298.1,308.6,1558,42.4,14,0
2021-06-19 00:06:18 CET,298.1,308.6,1527,40.2,16,0
2021-06-19 00:06:39 CET,298.1,308.6,1527,40.2,16,0
2021-06-19 00:06:59 CET,298.3,308.7,1667,28.6,18,0
2021-06-19 00:07:19 CET,298.3,308.7,1667,28.6,18,0
2021-06-19 00:07:39 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:07:58 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:08:18 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:08:38 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:08:57 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:09:17 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:09:37 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:09:56 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:10:35 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:11:32 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:11:51 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:12:11 CET,298.5,309,1741,28.0,21,0
2021-06-19 00:12:50 CET,298.4,308.9,1782,23.9,24,0
2021-06-19 00:13:10 CET,298.6,309.1,1423,44.3,29,0
2021-06-19 00:13:29 CET,298.6,309.1,1339,51.1,34,0
2021-06-19 00:13:48 CET,298.6,309.2,1742,30.0,37,0
2021-06-19 00:14:08 CET,298.6,309.2,2035,19.6,40,0
2021-06-19 00:14:28 CET,298.6,309.2,1542,48.4,42,0
2021-06-19 00:14:47 CET,298.6,309.2,1311,46.6,44,0
2021-06-19 00:16:04 CET,298.7,309.2,1410,45.6,47,0
2021-06-19 00:16:23 CET,298.8,309.2,1306,54.5,50,0
2021-06-19 00:17:04 CET,298.9,309.3,1632,32.5,55,0
2021-06-19 00:17:43 CET,298.9,309.3,1375,42.7,58,0
2021-06-19 00:18:03 CET,298.8,309.3,1450,44.8,63,0
2021-06-19 00:18:22 CET,298.9,309.3,1581,30.7,65,0
2021-06-19 00:18:42 CET,299.0,309.4,1758,25.7,68,0
2021-06-19 00:19:01 CET,299.0,309.4,1561,37.3,70,0
2021-06-19 00:19:21 CET,299.0,309.5,1861,23.3,73,0
2021-06-19 00:20:00 CET,299.1,309.5,1512,39.0,75,0
2021-06-19 00:20:20 CET,299.1,309.4,1811,24.6,77,0
2021-06-19 00:20:58 CET,299.1,309.4,1439,44.2,82,0
2021-06-19 00:21:37 CET,299.0,309.4,1693,30.1,84,0
2021-06-19 00:22:36 CET,299.1,309.5,1339,48.2,86,0
2021-06-19 00:22:56 CET,299.0,309.4,1798,25.5,89,0
2021-06-19 00:23:15 CET,299.0,309.4,1419,48.3,91,0
2021-06-19 00:23:35 CET,298.9,309.3,1665,32.5,93,0
2021-06-19 00:23:54 CET,298.8,309.1,1559,34.7,95,0
2021-06-19 00:24:14 CET,298.8,309.2,1452,48.6,98,0
2021-06-19 00:24:33 CET,298.9,309.2,1581,36.7,101,0
2021-06-19 00:24:53 CET,298.8,309.1,1439,39.2,104,0
2021-06-19 00:25:13 CET,298.9,309.2,1379,50.7,106,0
2021-06-19 00:25:32 CET,298.8,309.1,1350,52.5,111,0
2021-06-19 00:25:51 CET,298.8,309.1,1362,45.4,113,0
2021-06-19 00:26:11 CET,298.8,309.1,1368,50.8,115,0
2021-06-19 00:26:50 CET,298.8,309.1,1368,49.1,117,0
2021-06-19 00:27:09 CET,298.8,309.2,1372,48.5,120,0
2021-06-19 00:27:48 CET,298.8,309.1,1472,47.5,125,0
2021-06-19 00:28:08 CET,298.8,309.1,1489,49.1,128,0
2021-06-19 00:28:27 CET,298.7,309,1843,25.8,130,0
2021-06-19 00:28:47 CET,298.8,309.1,1418,46.3,133,0
2021-06-19 00:29:07 CET,298.8,309.2,1425,53.9,135,0
2021-06-19 00:29:26 CET,298.9,309.2,1412,44.1,140,0
2021-06-19 00:30:22 CET,298.9,309.1,2861,4.6,143,1
2021-06-19 00:30:42 CET,298.9,309.1,1383,54.9,145,0
2021-06-19 00:31:01 CET,298.8,309,1497,43.8,147,0
2021-06-19 00:31:21 CET,298.7,309,1565,35.1,152,0
2021-06-19 00:31:40 CET,298.7,309,1691,30.1,154,0
2021-06-19 00:32:19 CET,298.8,309.1,1512,40.7,156,0
2021-06-19 00:32:39 CET,298.8,309.1,1477,42.4,158,0
2021-06-19 00:32:58 CET,298.8,309.1,1513,40.3,160,0
2021-06-19 00:33:18 CET,298.8,309,1661,29.5,162,0
2021-06-19 00:33:37 CET,298.8,309.1,1378,54.4,165,0
2021-06-19 00:33:57 CET,298.8,309.1,1393,52.6,167,0
2021-06-19 00:34:16 CET,298.8,309,1592,38.2,169,0
